CONTACT_ID,sales_12M,new_Fund_added_12M,refresh_date
0125442,,,12/31/2019
0129923,,,12/31/2019
4327064,,,12/31/2019
10761181503554416754,,,12/31/2019
4474582,,,12/31/2019
4314937,1825683.3,1,12/31/2019
0284894,,,12/31/2019
0287018,13249689.25,2,12/31/2019
4329935,,,12/31/2019
0227738,85442.29825,,12/31/2019
10751171525899829587,,,12/31/2019
85202120594162099801,,,12/31/2019
85101133255079726166,,,12/31/2019
4400667,33204.605,,12/31/2019
85101152043222405746,,,12/31/2019
0269895,2815.57,1,12/31/2019
0041111,565638.5015,1,12/31/2019
85202141065696437170,34074.41,,12/31/2019
0317829,,,12/31/2019
0227418,,,12/31/2019
4354427,252160.38,,12/31/2019
4354120,,,12/31/2019
10751171323197225878,,,12/31/2019
4364503,10608.975,,12/31/2019
0250718,60432.33,1,12/31/2019
10751182515115784176,1369096.077,1,12/31/2019
85102141174943110922,,,12/31/2019
85101120024739683259,,,12/31/2019
4413928,499337.94,,12/31/2019
85102162105819286431,,,12/31/2019
85202153425079085395,1241795.78,,12/31/2019
10761182083988795712,,,12/31/2019
10751172673402613342,990,1,12/31/2019
10761182074082204393,542659.05,1,12/31/2019
85201163335634211391,,,12/31/2019
10751200083468466051,453419.93,4,12/31/2019
4366996,,,12/31/2019
0346174,,,12/31/2019
4415867,77922.915,,12/31/2019
4325039,50355.41,,12/31/2019
85202130695738213559,926215.4,1,12/31/2019
4487362,,,12/31/2019
0273546,500098,1,12/31/2019
0302152,267563.166,,12/31/2019
10751200734438548119,,,12/31/2019
4428851,31530.98,,12/31/2019
0329794,64802.68,,12/31/2019
4475435,373.548028,,12/31/2019
85201132395515684574,266976.38,,12/31/2019
85201111725904180283,,,12/31/2019
0198253,4321527.828,,12/31/2019
10761193155026821188,22800,2,12/31/2019
4421358,,,12/31/2019
85102110594942132871,,,12/31/2019
4307570,5000,8,12/31/2019
4388513,35591.51,2,12/31/2019
10751191704296252817,276000,1,12/31/2019
0231217,,,12/31/2019
0014672,,,12/31/2019
4425522,55000,1,12/31/2019
0360593,,,12/31/2019
4422845,,,12/31/2019
0349578,,,12/31/2019
4338128,,,12/31/2019
85201123274120058064,,,12/31/2019
85102150975475710717,,,12/31/2019
0284611,,,12/31/2019
0278153,365495.149,,12/31/2019
85202130284795932808,,,12/31/2019
85101142215350113369,,,12/31/2019
10751200235168291417,,,12/31/2019
10761192435173011929,,,12/31/2019
85102140554324932199,877857.87,,12/31/2019
0033558,,,12/31/2019
0040098,93113.19,1,12/31/2019
4409966,189578.16,1,12/31/2019
0763730,,,12/31/2019
4356846,,,12/31/2019
10761191376622866920,14850,1,12/31/2019
0295323,62190.48,1,12/31/2019
0277687,197159.67,1,12/31/2019
85201133533979617706,,,12/31/2019
0336714,,,12/31/2019
0179683,682.98,,12/31/2019
85101133034143514836,9577.46,1,12/31/2019
0157391,,,12/31/2019
4328572,,,12/31/2019
0288898,17500,,12/31/2019
10751181163845388015,,,12/31/2019
85102121113687825269,,,12/31/2019
4465285,193741.5,1,12/31/2019
4440365,9554.49,1,12/31/2019
85201160815227099398,454.78,,12/31/2019
10761191334683396269,,,12/31/2019
85202133046231198240,12309.1,,12/31/2019
4385001,,,12/31/2019
10751192674209867865,13000,1,12/31/2019
4373663,,,12/31/2019
10751171464571414454,,,12/31/2019
85201111446244266018,268912.4818,1,12/31/2019
0224269,12185.36,1,12/31/2019
0346634,65857.23323,,12/31/2019
4435685,194158.445,5,12/31/2019
0360982,379534.505,2,12/31/2019
4349043,,,12/31/2019
10761192007072767743,25776.09,1,12/31/2019
4343707,1163.835,,12/31/2019
4490633,,,12/31/2019
4329358,37125,,12/31/2019
4319006,,,12/31/2019
4326627,33890.56,4,12/31/2019
85201112284317278177,200249.7,3,12/31/2019
10761172545575024367,,,12/31/2019
85201120114361782135,,,12/31/2019
85201133155630458212,,,12/31/2019
85201170373155707980,550105.78,2,12/31/2019
10751182883803363817,1765.77,1,12/31/2019
85101170653348038048,936.6,,12/31/2019
4313575,,,12/31/2019
0061586,,,12/31/2019
4420536,255671.6,1,12/31/2019
4466008,,,12/31/2019
10761180748042681822,,,12/31/2019
0349761,,,12/31/2019
0327620,,,12/31/2019
0263217,,,12/31/2019
0359183,11476.965,2,12/31/2019
0550020,3534.48,,12/31/2019
85201131335304871407,,,12/31/2019
4367687,,,12/31/2019
4370176,42487.27,,12/31/2019
4341247,,,12/31/2019
85202141185531684732,202.71,,12/31/2019
4316187,,,12/31/2019
85101103655090273941,1779184.79,4,12/31/2019
4399544,1816.48,2,12/31/2019
4488132,,,12/31/2019
85202160335104226344,87055,,12/31/2019
00872152306271104316,49035.04,2,12/31/2019
00872152564596352387,553,,12/31/2019
85201160994240651155,,,12/31/2019
85202110033685038398,5592.03,1,12/31/2019
0348197,,,12/31/2019
85201162534695360068,987356.25,3,12/31/2019
10761192125297663349,,,12/31/2019
85201112113563862129,230300,,12/31/2019
0331831,,,12/31/2019
4337269,1674897.366,,12/31/2019
10761171754653529956,7600,,12/31/2019
0340303,517391.76,3,12/31/2019
0285079,,,12/31/2019
4304423,1733909.607,,12/31/2019
85101131555196021751,,,12/31/2019
10751171753638966890,,,12/31/2019
4386681,,,12/31/2019
85201130524976745845,13499.62,,12/31/2019
0062970,,,12/31/2019
4311578,968400,1,12/31/2019
4373653,,,12/31/2019
85101152074569152664,,,12/31/2019
4437933,,,12/31/2019
85201141544081105803,1761.24,,12/31/2019
0296138,,,12/31/2019
85101153615072327284,122282.97,3,12/31/2019
85101120552523982573,29801.38,1,12/31/2019
85201110253454879267,,,12/31/2019
4464619,10346039.58,1,12/31/2019
85101130273360380889,,,12/31/2019
85201153094349661273,25466.32,1,12/31/2019
85102143686031365938,,,12/31/2019
4490549,289299.1,,12/31/2019
00872121366819673659,1452364.55,1,12/31/2019
85102150804221066901,,,12/31/2019
4415707,1425875,1,12/31/2019
85201141344978935447,149032.3,,12/31/2019
85101152703445448401,,,12/31/2019
4413911,,,12/31/2019
85102160844153622703,13121.82,3,12/31/2019
0357307,,,12/31/2019
4320529,1250.68,,12/31/2019
4473901,1480.68,1,12/31/2019
4441470,,,12/31/2019
85202161384996227397,,,12/31/2019
4363107,274905.84,1,12/31/2019
0361691,,,12/31/2019
4455470,1023682.045,3,12/31/2019
85102110423514640835,110879.19,1,12/31/2019
0315103,46237.86,,12/31/2019
85101153253788010408,,,12/31/2019
4391507,,,12/31/2019
4398291,,,12/31/2019
85102112174141463833,4800,,12/31/2019
0360525,,,12/31/2019
85202111013184079907,,,12/31/2019
4499647,,,12/31/2019
0359179,468493.265,,12/31/2019
85102150205340360270,22777.7,1,12/31/2019
0297600,25687.23,2,12/31/2019
4473344,20000,1,12/31/2019
85201152893337028077,108276.94,1,12/31/2019
0327924,,,12/31/2019
4361858,,,12/31/2019
4499019,,,12/31/2019
4440916,214474.21,,12/31/2019
0015241,436680.44,,12/31/2019
4464653,,,12/31/2019
4465796,,,12/31/2019
10761190164435394569,,,12/31/2019
85102123473952186486,,,12/31/2019
4354313,,,12/31/2019
4421501,64581.27,1,12/31/2019
85102121644881052657,,,12/31/2019
4398319,,,12/31/2019
0307508,5592.04,,12/31/2019
4420932,,,12/31/2019
85201141634250428612,,,12/31/2019
